8.223.63.189:443#HK [32.84ms 42.23Mbps]
47.83.14.42:8443#HK [34.18ms 14.57Mbps]
129.154.50.159:443#KR [36.0ms 12.35Mbps]
185.200.64.238:2053#JP [36.83ms 34.01Mbps]
45.78.33.200:8443#JP [37.14ms 25.84Mbps]
185.243.240.111:443#HK [37.87ms 19.37Mbps]
154.219.103.79:443#HK [38.3ms 10.7Mbps]
8.216.6.167:443#JP [39.26ms 23.05Mbps]
149.62.44.146:443#JP [40.14ms 31.24Mbps]
39.108.133.242:8443#CN [42.85ms 8.94Mbps]
195.245.242.207:443#JP [49.23ms 32.25Mbps]
45.143.233.162:8443#JP [49.76ms 32.81Mbps]
125.228.236.138:443#TW [50.26ms 13.52Mbps]
23.151.104.198:443#JP [51.08ms 12.7Mbps]
168.107.13.136:8443#KR [68.05ms 18.02Mbps]
43.134.174.114:443#SG [74.0ms 8.46Mbps]
156.244.57.227:443#SG [83.29ms 9.46Mbps]
194.56.225.65:2053#SG [93.13ms 13.74Mbps]
172.236.154.50:443#SG [94.27ms 12.37Mbps]
52.76.97.123:443#SG [94.32ms 14.64Mbps]
172.104.53.198:443#SG [96.25ms 12.8Mbps]
161.248.31.35:443#VN [101.03ms 9.72Mbps]
43.133.110.81:443#TH [101.08ms 11.35Mbps]
38.54.112.233:443#MY [109.62ms 10.55Mbps]
109.71.242.243:8443#RU [111.91ms 11.58Mbps]
138.2.85.81:2083#TH [115.98ms 10.16Mbps]
43.200.87.5:443#KR [121.73ms 12.85Mbps]
139.84.168.252:8443#IN [127.46ms 11.39Mbps]
131.143.251.121:443#US [128.58ms 10.14Mbps]
38.59.241.94:8443#US [130.76ms 10.17Mbps]
154.17.31.82:443#US [131.13ms 9.71Mbps]
64.186.236.235:443#US [132.1ms 10.41Mbps]
154.21.95.34:443#US [132.2ms 10.98Mbps]
64.186.240.48:443#US [133.84ms 10.34Mbps]
64.186.239.202:443#US [134.35ms 10.39Mbps]
154.17.8.126:2053#US [135.05ms 10.8Mbps]
5.188.78.218:2053#RU [138.37ms 11.06Mbps]
80.253.249.228:443#DE [138.75ms 9.79Mbps]
89.169.53.166:443#DE [139.39ms 8.38Mbps]
188.68.218.66:443#RU [142.37ms 10.02Mbps]
185.238.191.17:8443#DE [143.95ms 11.18Mbps]
138.124.32.104:443#DE [144.86ms 9.25Mbps]
109.122.198.125:443#DE [145.53ms 9.08Mbps]
138.124.89.160:443#NL [145.66ms 10.11Mbps]
109.120.150.94:443#NL [145.89ms 9.79Mbps]
5.188.78.218:8443#RU [146.99ms 10.18Mbps]
193.177.221.29:443#AU [147.4ms 10.73Mbps]
20.174.15.226:443#AE [148.9ms 10.73Mbps]
188.246.226.106:8443#RU [148.92ms 9.87Mbps]
46.102.157.145:8443#AT [152.78ms 8.94Mbps]
144.31.122.162:8443#NL [152.87ms 10.48Mbps]
78.153.130.15:443#GB [153.0ms 8.76Mbps]
144.31.122.181:2053#NL [153.12ms 10.66Mbps]
212.74.227.162:443#RU [153.62ms 10.65Mbps]
152.53.19.75:443#AT [155.04ms 11.4Mbps]
132.243.203.215:8443#AT [156.31ms 9.1Mbps]
150.242.90.205:443#CA [156.45ms 9.21Mbps]
151.241.215.148:443#IT [157.06ms 8.35Mbps]
185.22.154.148:8443#RU [162.85ms 8.92Mbps]
80.78.30.157:443#DK [163.37ms 8.24Mbps]
132.243.205.57:8443#IT [165.8ms 9.2Mbps]
132.243.203.221:8443#AT [166.15ms 8.42Mbps]
77.110.97.237:443#GB [166.48ms 9.82Mbps]
193.181.211.52:2053#DK [167.32ms 8.82Mbps]
132.243.203.204:8443#AT [167.34ms 9.25Mbps]
132.243.203.247:8443#AT [167.67ms 9.08Mbps]
92.118.233.106:443#FI [168.92ms 8.79Mbps]
65.21.122.159:443#FI [172.05ms 8.95Mbps]
193.180.212.103:443#DK [172.69ms 10.48Mbps]
176.105.255.38:443#PL [175.58ms 8.09Mbps]
95.156.204.82:8443#PL [176.49ms 8.37Mbps]
45.83.20.29:443#BE [179.21ms 9.37Mbps]
44.32.224.198:2053#CA [180.98ms 9.43Mbps]
45.133.216.88:8443#LV [181.69ms 8.85Mbps]
44.32.224.206:2053#CA [183.83ms 9.3Mbps]
45.8.147.11:443#BA [184.39ms 10.89Mbps]
94.131.3.151:443#CH [185.01ms 8.2Mbps]
2.27.57.223:443#PL [192.02ms 8.08Mbps]
91.192.102.112:443#CH [193.23ms 8.1Mbps]
44.32.224.206:443#CA [193.5ms 8.6Mbps]
45.129.141.188:443#SK [193.94ms 9.95Mbps]
31.56.117.64:443#LV [197.15ms 9.72Mbps]
194.4.48.172:443#ES [203.9ms 8.43Mbps]
45.154.24.170:443#TH [205.7ms 9.7Mbps]
95.164.21.123:443#BG [208.85ms 8.11Mbps]
45.150.128.159:443#TH [211.61ms 10.23Mbps]
195.123.244.83:443#CZ [217.53ms 8.8Mbps]
217.61.61.242:443#IT [219.69ms 8.29Mbps]
185.203.119.166:2053#BG [223.93ms 8.7Mbps]
45.136.57.82:2053#KZ [228.28ms 8.15Mbps]
176.97.76.192:443#RO [232.53ms 9.6Mbps]
91.92.136.69:443#BG [234.95ms 8.02Mbps]
132.243.205.63:8443#IT [256.03ms 10.54Mbps]
5.181.2.248:8443#HR [267.97ms 9.21Mbps]
