47.239.231.121:443#HK [29.44ms 0.11Mbps]
8.223.63.189:443#HK [32.84ms 42.23Mbps]
206.237.21.224:443#HK [33.17ms 0.14Mbps]
159.75.175.197:2053#HK [34.06ms 0.0Mbps]
47.83.14.42:8443#HK [34.18ms 14.57Mbps]
45.147.26.52:8443#HK [35.88ms 4.74Mbps]
129.154.50.159:443#KR [36.0ms 12.35Mbps]
185.200.64.238:2053#JP [36.83ms 34.01Mbps]
47.243.183.61:443#HK [36.96ms 0.16Mbps]
45.78.33.200:8443#JP [37.14ms 25.84Mbps]
8.210.29.68:443#HK [37.29ms 0.0Mbps]
185.243.240.111:443#HK [37.87ms 19.37Mbps]
154.219.103.79:443#HK [38.3ms 10.7Mbps]
8.216.6.167:443#JP [39.26ms 23.05Mbps]
149.62.44.146:443#JP [40.14ms 31.24Mbps]
39.108.133.242:8443#CN [42.85ms 8.94Mbps]
47.242.28.106:443#JP [43.32ms 0.72Mbps]
195.245.242.207:443#JP [49.23ms 32.25Mbps]
8.209.231.3:443#JP [49.5ms 1.13Mbps]
45.143.233.162:8443#JP [49.76ms 32.81Mbps]
125.228.236.138:443#TW [50.26ms 13.52Mbps]
23.151.104.198:443#JP [51.08ms 12.7Mbps]
45.8.112.158:443#JP [51.43ms 0.1Mbps]
114.33.57.170:443#TW [53.66ms 0.0Mbps]
168.107.13.136:8443#KR [68.05ms 18.02Mbps]
64.120.94.225:443#SG [71.24ms 0.65Mbps]
150.109.11.223:443#SG [72.12ms 0.32Mbps]
43.134.174.114:443#SG [74.0ms 8.46Mbps]
47.57.181.17:443#US [81.06ms 1.84Mbps]
96.126.190.196:443#MY [82.27ms 0.0Mbps]
156.244.57.227:443#SG [83.29ms 9.46Mbps]
194.56.225.65:2053#SG [93.13ms 13.74Mbps]
172.236.154.50:443#SG [94.27ms 12.37Mbps]
52.230.95.97:443#SG [94.31ms 0.0Mbps]
52.76.97.123:443#SG [94.32ms 14.64Mbps]
149.248.199.173:443#DE [95.46ms 2.3Mbps]
207.148.125.245:8443#SG [95.86ms 3.08Mbps]
172.104.53.198:443#SG [96.25ms 12.8Mbps]
103.137.63.227:8443#TW [96.77ms 6.39Mbps]
163.61.103.239:443#MY [100.6ms 0.0Mbps]
161.248.31.35:443#VN [101.03ms 9.72Mbps]
43.133.110.81:443#TH [101.08ms 11.35Mbps]
38.54.112.233:443#MY [109.62ms 10.55Mbps]
172.232.226.233:443#ID [111.01ms 6.35Mbps]
109.71.242.243:8443#RU [111.91ms 11.58Mbps]
160.22.16.187:443#VN [113.51ms 0.24Mbps]
185.248.184.201:2053#TW [115.84ms 7.57Mbps]
138.2.85.81:2083#TH [115.98ms 10.16Mbps]
123.58.199.241:443#VN [121.07ms 1.36Mbps]
43.200.87.5:443#KR [121.73ms 12.85Mbps]
13.204.131.122:443#IN [127.39ms 0.0Mbps]
139.84.168.252:8443#IN [127.46ms 11.39Mbps]
131.143.251.121:443#US [128.58ms 10.14Mbps]
194.164.245.177:443#RU [129.38ms 2.34Mbps]
38.59.241.94:8443#US [130.76ms 10.17Mbps]
154.17.31.82:443#US [131.13ms 9.71Mbps]
154.17.20.7:8443#US [131.47ms 2.87Mbps]
64.186.236.235:443#US [132.1ms 10.41Mbps]
154.21.95.34:443#US [132.2ms 10.98Mbps]
64.186.240.48:443#US [133.84ms 10.34Mbps]
64.186.239.202:443#US [134.35ms 10.39Mbps]
144.31.63.230:443#DE [134.87ms 7.8Mbps]
154.17.8.126:2053#US [135.05ms 10.8Mbps]
139.84.168.252:2053#IN [137.87ms 3.45Mbps]
